"","Cog.1","Cog.2","Cog.3","Cog.4","Cog.5","Cog.6","Aff.1","Aff.2","Aff.3","Aff.4","Aff.5","Aff.6","Beh.1","Beh.2","Beh.3","Beh.4","Beh.5","Beh.6"
"248",4,4,5,5,4,4,4,3,4,5,3,5,5,4,3,4,5,5
"249",4,3,5,2,4,4,5,4,5,5,4,5,5,3,4,3,3,3
"250",3,4,4,3,6,6,4,3,3,5,3,4,6,4,3,5,5,5
"251",5,2,5,5,5,2,2,2,2,5,2,2,5,5,5,5,5,5
"252",6,5,6,6,6,6,6,2,2,6,6,2,6,6,2,6,2,5
"253",4,4,5,4,5,5,5,5,3,5,5,5,5,4,3,3,5,5
"254",4,5,5,4,6,4,3,5,4,6,4,4,4,3,2,4,4,4
"255",6,2,5,4,5,3,6,5,5,2,2,3,2,4,1,2,4,5
"256",5,3,5,4,4,4,3,4,3,5,3,4,5,4,3,4,5,5
"257",4,3,5,3,5,4,3,3,3,5,1,5,6,2,1,4,4,4
"258",5,2,3,4,4,2,3,3,4,4,2,3,4,3,4,3,4,5
"259",6,3,5,6,6,4,3,3,3,5,3,4,5,5,5,4,4,6
"260",3,4,3,3,4,4,4,4,5,3,4,3,4,3,3,4,3,3
"261",5,4,5,5,2,2,5,5,5,5,5,5,5,5,5,5,5,5
"262",6,3,6,6,1,2,3,2,2,4,2,2,6,6,6,6,6,6
"263",5,4,5,5,5,2,6,6,6,6,6,6,6,4,5,5,6,6
"264",6,3,5,5,5,3,5,5,5,6,5,5,6,6,6,6,6,6
"265",3,3,5,3,5,4,5,5,5,5,5,5,4,5,4,4,4,4
"266",6,4,5,5,5,5,3,3,2,5,5,3,5,4,4,4,4,5
"267",5,2,5,4,3,3,3,3,5,4,4,4,5,3,3,3,4,4
"268",2,4,3,2,5,4,4,5,4,5,5,4,3,2,3,2,2,3
"269",3,1,4,4,3,1,3,1,2,2,1,3,6,5,4,5,5,4
"270",6,4,5,5,5,4,5,5,4,4,2,3,4,3,6,4,4,4
"271",6,3,5,4,4,3,4,4,4,4,4,3,4,3,2,3,5,5
"272",5,3,5,2,6,5,5,4,3,5,2,4,5,5,2,5,5,5
"273",6,2,6,6,6,5,3,5,5,5,4,5,5,5,5,5,5,5
"274",2,2,5,4,5,3,3,3,3,5,3,2,1,2,4,4,4,4
"275",6,3,5,4,3,3,3,3,3,4,3,3,4,3,3,4,4,4
"276",4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4
"277",5,2,5,4,4,2,5,3,3,5,5,5,5,5,5,5,5,5
"278",6,2,6,4,4,3,2,2,2,4,3,3,5,5,5,5,5,5
"279",4,2,5,5,4,2,4,5,5,5,2,2,5,5,3,3,5,5
"280",4,2,5,3,4,2,3,3,2,3,2,1,5,5,4,5,6,6
"281",5,3,6,4,5,3,3,3,3,4,3,2,4,4,4,4,4,4
"282",5,2,5,5,6,3,3,3,3,4,3,3,5,3,5,5,5,5
"283",6,2,6,6,6,2,2,2,2,4,3,1,5,5,5,5,5,5
"284",6,1,6,6,1,1,4,6,6,6,6,6,6,6,6,6,6,6
"285",6,3,6,6,6,6,3,6,6,6,6,6,5,5,5,5,6,6
"286",6,3,6,6,3,3,2,2,2,3,3,3,5,5,5,5,5,5
"287",5,2,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5
"288",5,1,4,3,4,3,3,3,3,3,2,3,4,4,3,3,5,4
"289",5,3,4,5,4,3,3,3,3,4,3,4,5,4,3,4,5,4
"290",6,2,6,6,4,5,6,3,3,6,6,5,6,6,6,6,6,6
"291",4,2,5,4,6,3,5,5,5,6,4,3,4,4,4,4,4,4
"292",3,2,5,4,4,2,4,3,5,5,5,5,5,6,5,5,5,5
"293",5,3,5,5,5,4,5,5,5,5,3,4,4,4,4,3,4,4
"294",6,2,6,5,5,1,4,2,1,3,5,2,6,6,5,6,6,6
"295",5,2,5,4,3,3,5,3,3,5,3,5,5,4,4,4,4,4
"296",4,2,5,4,3,3,3,5,5,5,5,5,5,5,5,4,4,4
"297",6,1,6,5,4,3,5,2,3,4,5,4,3,4,3,4,3,4
"298",5,2,5,5,4,2,2,4,4,4,4,4,4,4,4,3,4,5
"299",5,2,5,5,2,2,4,4,4,4,4,4,5,5,5,5,5,5
"300",5,2,5,4,5,3,3,4,3,4,3,3,4,4,3,4,4,3
"301",5,2,4,4,3,3,3,3,2,3,4,3,5,4,4,5,4,3
"302",3,3,3,4,4,3,2,4,3,3,4,3,3,4,3,4,3,5
"303",6,1,5,3,4,4,4,3,3,5,1,6,2,5,2,4,3,4
"304",6,4,6,6,3,4,4,4,3,5,5,5,5,5,3,4,4,5
"305",4,1,5,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2
"306",6,3,6,6,3,3,6,6,6,6,6,6,6,6,6,6,6,6
"307",4,3,4,4,3,3,3,3,3,3,3,3,4,4,4,4,4,4
"308",4,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1
"309",5,3,5,5,5,4,5,5,3,5,5,5,5,5,5,5,5,5
"310",3,3,2,4,3,5,3,5,3,3,4,3,4,4,3,3,4,4
"311",2,5,6,6,5,2,6,4,4,4,4,4,4,4,4,4,4,4
"312",6,2,4,3,6,2,3,3,4,5,5,5,5,5,4,4,5,5
"313",5,3,5,4,3,3,4,3,3,3,3,4,4,4,4,4,4,4
"314",5,4,4,5,3,2,5,5,5,5,4,4,6,5,5,5,5,5
"315",4,2,5,5,6,6,4,2,2,4,2,3,5,3,4,5,5,5
"316",4,3,4,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5
"317",4,3,5,3,5,3,3,3,2,4,2,5,5,5,3,4,4,5
"318",5,2,5,5,4,2,5,4,4,5,4,5,5,4,4,4,4,4
"319",4,4,3,4,3,3,5,5,5,5,3,3,3,4,4,4,2,3
"320",2,1,6,4,6,4,3,5,2,4,4,3,4,4,5,3,3,4
"321",5,2,4,2,4,2,5,3,3,3,2,3,4,4,4,4,4,4
"322",4,1,4,2,2,4,4,3,4,4,2,5,3,4,5,2,4,4
"323",1,1,2,2,5,1,1,3,4,4,4,5,6,6,1,3,3,6
"324",2,4,3,3,3,3,4,4,5,5,6,6,2,2,3,3,2,3
"325",5,2,5,5,6,2,5,2,5,3,2,5,5,3,1,4,5,5
"326",4,3,4,5,6,3,5,5,5,5,5,5,6,6,5,6,6,6
"327",6,1,6,6,1,6,3,3,3,6,1,6,6,6,6,6,6,6
"328",5,2,5,3,4,4,2,2,2,4,4,2,6,6,6,6,6,6
"329",5,2,6,4,6,3,3,6,2,5,6,5,5,5,5,4,6,6
"330",5,2,5,4,5,2,5,5,5,5,5,5,5,4,5,5,5,5
"331",5,3,5,5,6,3,6,5,5,5,2,6,6,6,6,6,6,6
"332",5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5
"333",3,5,3,3,4,5,5,4,2,3,3,2,2,2,2,3,4,2
"334",3,3,5,6,4,3,5,4,3,4,5,4,4,2,3,5,4,4
"335",6,4,5,5,4,4,3,5,3,5,3,3,5,5,5,5,5,5
"336",4,5,5,4,5,5,5,6,6,6,6,6,5,5,5,5,5,5
"337",5,2,5,5,5,2,5,3,2,5,3,5,3,5,3,3,5,5
"338",4,2,4,4,3,3,5,5,5,5,5,5,4,4,4,4,4,4
"339",5,4,5,4,5,3,3,4,5,5,4,5,5,4,4,4,4,5
"340",6,1,6,6,1,1,1,1,1,1,1,1,6,6,6,6,6,6
"341",5,1,6,6,3,2,3,5,5,5,2,5,6,6,6,6,6,6
"342",5,2,5,5,5,2,5,2,2,3,2,4,2,5,2,2,5,5
"343",6,3,6,5,4,3,6,6,6,6,6,6,6,6,6,6,6,6
"344",4,3,4,3,5,4,4,4,5,5,5,5,4,4,4,4,4,4
"345",5,2,4,4,4,4,4,4,5,5,3,5,4,4,4,4,4,4
"346",6,3,6,6,6,3,5,5,5,6,5,5,5,5,5,4,5,5
"347",4,1,5,4,1,1,5,1,1,1,2,4,5,5,5,5,5,5
