"","Male","Age","Chinese","EduF_Med","EduF_High","EduM_Med","EduM_High","EduS_Med","EduS_High"
"607",1,0,1,0,1,0,1,1,0
"608",1,0,1,0,0,0,0,0,1
"609",0,1,1,0,0,0,1,1,0
"610",1,0,1,0,1,0,1,1,0
"611",0,1,1,0,0,0,0,1,0
"612",0,0,1,1,0,0,0,1,0
"613",0,0,1,1,0,1,0,1,0
"614",1,0,1,0,1,0,1,0,0
"615",0,0,1,0,0,0,0,0,1
"616",1,0,1,0,1,0,1,0,1
"617",1,0,1,1,0,0,1,0,0
"618",1,0,1,0,0,1,0,0,1
"619",1,0,0,0,0,0,1,1,0
"620",1,0,1,0,1,0,1,0,0
"621",1,0,1,1,0,0,0,1,0
"622",0,0,1,0,1,0,1,1,0
"623",0,0,1,0,1,0,1,1,0
"624",1,1,0,0,1,0,1,0,0
"625",1,0,1,0,1,0,1,1,0
"626",1,0,1,0,1,0,1,0,0
"627",1,0,1,0,1,0,1,0,0
"628",1,0,1,0,1,0,1,0,0
"629",0,0,1,0,0,0,0,1,0
"630",1,0,1,0,1,0,1,1,0
"631",0,0,1,0,1,0,1,0,0
"632",1,0,1,0,1,0,1,0,0
"633",1,1,0,0,0,0,0,0,0
"634",1,0,1,0,1,0,1,0,0
"635",1,0,1,0,1,0,1,0,0
"636",0,1,1,0,1,0,1,0,0
"637",1,0,1,0,1,0,1,1,0
"638",0,0,1,0,1,0,1,1,0
"639",1,0,1,0,1,0,1,1,0
"640",0,0,1,0,1,0,1,0,0
"641",0,1,1,0,1,0,1,1,0
"642",0,0,1,0,0,0,0,0,1
"643",0,0,1,0,0,0,0,1,0
"644",0,0,1,0,0,0,0,1,0
"645",1,0,1,0,1,0,1,0,0
"646",1,0,1,0,1,0,1,1,0
"647",0,0,1,0,1,0,1,1,0
"648",0,1,1,0,1,0,1,1,0
"649",0,0,1,0,1,0,1,0,0
"650",0,0,1,0,1,0,1,0,0
"651",0,0,1,0,1,0,1,1,0
"652",0,0,1,0,1,0,1,1,0
"653",0,0,1,0,1,0,1,1,0
"654",0,0,1,0,1,0,1,1,0
"655",0,0,1,0,1,0,1,1,0
"656",0,0,1,0,1,0,1,1,0
